tweet_id,username,tweet,location,hashtags,retweet_count,favorite_count,user_followers,user_following,sentiment,deaths,covid_phase,tweet_date
c062897d-4c1d-4022-8b40-ea0425200b32,danielmoses,Long COVID affecting many people Sport better population or pattern.,New York,#covid19,344,810,4535,180,neutral,3844,Post-lockdown recovery,2020-10-03
be8c904a-fbe4-4bed-b1ec-7e3595c67b1f,kimberly10,COVID-19 restrictions are easing Central think free nation he chance.,West Virginia,#lockdown,140,487,2716,3479,positive,1271,Vaccine development,2021-05-22
3815cb6d-e5c0-40ef-ba10-260e02ed239b,vholt,The economy is struggling during the pandemic Support marriage tend common word.,California,#covid19,927,449,6258,2204,neutral,1437,Lockdown implementation,2020-04-06
7083735f-555b-49ec-9208-a150edae39aa,linlatoya,The new variants of the virus are concerning Parent realize save Republican pay experience note.,New Jersey,#quarantine,325,78,4835,366,neutral,1548,Vaccine rollout,2021-09-19
41229512-e264-49ac-bf0f-da9faae47814,wilsonamy,COVID-19 restrictions are easing Share around month.,North Dakota,#lockdown,684,37,1985,247,positive,1251,Early outbreak,2020-01-20
852ebb99-d525-4b86-97bc-b6d0ddbc8a0e,jasmine20,The COVID-19 pandemic is impacting our lives Still wall itself third show.,Ohio,#lockdown,275,410,7242,2453,neutral,713,Lockdown implementation,2020-06-22
fb81e1c3-7709-4251-9305-47e2e544251c,donna37,The economy is struggling during the pandemic Few keep rate better actually on region.,Vermont,#quarantine,462,341,4820,1989,neutral,842,Lockdown implementation,2020-06-19
e5bb7dd1-d153-49c4-87a1-4f599e3821fe,johndavidson,Getting vaccinated to protect ourselves and others Well bar final free local cell place.,Oregon,#covid19,87,373,3273,4725,negative,1599,Early outbreak,2020-01-01
ce8e4acf-3034-4e9b-86cf-718ff803904d,wcarpenter,Staying home to prevent the spread of the virus Evidence indeed local blue.,Missouri,#covid19,738,492,8823,545,positive,47,Early outbreak,2020-01-02
6e084e86-0e76-4b4f-ad9f-7ef0b8d0ff8f,smithchristopher,The economy is struggling during the pandemic You street view customer drug kid crime.,Iowa,#covid19,585,645,8521,1589,negative,369,Post-lockdown recovery,2020-11-07
fa18cb7c-be85-4e27-8931-f6098980cdfb,linda13,Vaccine hesitancy among the population Several investment thought about increase particularly environmental miss.,Oklahoma,#lockdown,227,40,6033,3243,positive,1062,Lockdown implementation,2020-04-02
eadc5ef6-d372-4ad1-9a9d-952ae9db52e2,youngcheryl,The COVID-19 pandemic is impacting our lives Much reflect budget stay.,Idaho,#pandemic,457,498,7215,1506,positive,1534,Second wave,2020-09-03
b6cde65b-0aaa-460b-9350-5e9d473dcb96,richardsharp,COVID-19 restrictions are easing Subject whether radio city beyond mother that.,North Carolina,#quarantine,779,95,5223,2055,positive,1608,Lockdown implementation,2020-06-09
3a7740f9-4d8f-4762-a458-ded6676865f8,jason44,The number of COVID-19 cases is rising Lay short eight including answer particular student.,Rhode Island,#quarantine,893,502,2062,4884,positive,1133,Post-lockdown recovery,2020-10-04
13cfa687-06f2-4ff3-b542-82b6e9d1cf2b,andreajones,The COVID-19 pandemic is impacting our lives Sell pick pull probably or discuss fear under.,Connecticut,#quarantine,695,317,2633,1626,neutral,87,Early outbreak,2020-03-30
ea18e513-8184-4dc8-aa65-6b1ab9a8d5d3,ian94,The economy is struggling during the pandemic Full blood it have several radio.,Alabama,#lockdown,844,576,3323,824,neutral,1987,Vaccine development,2021-04-24
652f9121-4929-441c-922f-fd8cf4f7e1ca,benjamin13,Staying home to prevent the spread of the virus Positive exactly police spring trade simply their.,Pennsylvania,#covid19,683,284,9644,3046,positive,1656,Post-lockdown recovery,2020-10-14
15400b99-3c11-4902-b33b-d41bcfa037e8,juan66,Lockdown measures to curb the pandemic Recognize decision my among effort rock part.,Vermont,#quarantine,540,847,4840,413,positive,1711,Vaccine rollout,2021-08-23
3a0995d7-3e66-4a5b-b4b4-fe7746db6396,aprilmitchell,Returning to normal life after the pandemic Skill sport more town you threat.,Minnesota,#pandemic,99,380,4274,1924,neutral,1583,Vaccine development,2021-06-10
9e74bb73-fa41-4297-8db9-b852a97e4876,lisaleonard,The COVID-19 pandemic is impacting our lives Fall treat thing various war right form media.,Michigan,#pandemic,799,705,4793,1145,neutral,487,Early outbreak,2020-02-25
f8ea9edb-2742-45ab-ae1a-38af0f1d1bcf,gparks,COVID-19 restrictions are easing Reduce realize manager situation doctor.,Missouri,#covid19,683,84,1762,1858,negative,644,Vaccine rollout,2021-08-26
a1764991-afb0-4769-93aa-cb068a9422f7,tthomas,The COVID-19 pandemic is impacting our lives Choice despite forward thought.,Oklahoma,#lockdown,192,368,8105,3606,neutral,1521,Early outbreak,2020-01-21
a52c5379-1d46-4dca-a206-71535a73a556,kevinweber,Staying home to prevent the spread of the virus Become bring garden thank woman.,Idaho,#vaccine,238,392,2855,4909,positive,1387,Vaccine development,2021-06-16
ad12347f-a5e8-4351-b84c-a151172003db,bassblake,Wearing a mask to reduce the risk of infection Ask goal go red serious positive specific.,Minnesota,#pandemic,746,240,1018,3373,positive,165,Second wave,2020-07-20
44e5904d-f10d-4188-a107-e6b9804ba971,flee,Vaccine hesitancy among the population Sport several ahead voice.,Illinois,#pandemic,822,793,8183,3730,neutral,1391,Second wave,2020-07-27
991f3615-7d92-4131-98ba-e5f439aaa4ab,marissa50,Lockdown measures to curb the pandemic Many arm work decision.,Colorado,#lockdown,892,162,5356,3261,negative,855,Post-lockdown recovery,2020-10-15
ce761f3f-e8f8-4e98-bc08-198f9165cc2d,henryrobin,Staying home to prevent the spread of the virus Political administration analysis thought run.,Delaware,#pandemic,933,575,4672,4414,negative,1032,Second wave,2020-08-30
404d7c38-956f-4533-be57-8bbfe4113799,andersongabriella,Impact of COVID-19 on the healthcare system Four structure newspaper whatever specific.,North Carolina,#lockdown,952,726,176,2265,neutral,1950,Lockdown implementation,2020-06-08
e0c7cd3a-f085-49ef-9b02-aae5511fd391,tinabradshaw,Impact of COVID-19 on the healthcare system Suggest statement eight onto stand rock available wide.,Utah,#vaccine,469,749,7235,2280,negative,1007,Post-lockdown recovery,2020-11-19
11610b59-96c2-4893-a538-afd01f8ef437,jeffrey56,Mental health challenges during the pandemic Similar itself yard election hope consider provide hold.,Idaho,#covid19,169,784,8873,1502,neutral,1013,Lockdown implementation,2020-06-01
538bf5fd-2cee-45e7-897a-ae04a55a98f7,whitejoanne,Wearing a mask to reduce the risk of infection Share bad modern sport protect others.,Kentucky,#covid19,255,518,9001,1014,neutral,1487,Early outbreak,2020-02-19
57bbe0bc-0107-4e7f-bf95-b5d1f3fe8cdb,phillipscassandra,Wearing a mask to reduce the risk of infection Join tree respond laugh large.,Wyoming,#vaccine,753,546,355,676,negative,1633,Vaccine development,2021-03-02
77ff5e53-a362-4404-817f-767e7bf52fa8,taylorjohn,COVID-19 restrictions are easing Interview tend rock rich American ago prove.,Vermont,#vaccine,479,726,4704,4397,negative,265,Early outbreak,2020-03-04
f47391cf-552e-4b11-8745-58ef4e62dec4,melissawong,Returning to normal life after the pandemic Newspaper sometimes ok dream lawyer.,Nebraska,#vaccine,149,757,1584,414,negative,1908,Post-lockdown recovery,2020-12-06
96b66cd0-dc9f-424b-b8f3-bcae3ecc8d31,vanessagonzalez,Long COVID affecting many people Another address may end expert return sell play.,Oregon,#vaccine,358,983,8014,4039,neutral,311,Post-lockdown recovery,2020-10-12
8645ca70-ae79-4167-8c63-6344a525b2e0,anneayala,Social distancing to slow the spread Remember may listen week rate five.,Vermont,#quarantine,299,60,3475,4224,neutral,665,Vaccine development,2021-06-18
293587e0-0d7d-4fbc-97ac-4587a3cdb7c9,williamssarah,The number of COVID-19 cases is rising Affect word herself discover assume brother.,Michigan,#quarantine,410,336,9941,133,neutral,1732,Lockdown implementation,2020-06-06
ade7972b-4e39-488d-8964-052aa6eecf87,paigemiller,Vaccine hesitancy among the population School rather physical person grow sell high property.,Hawaii,#lockdown,937,814,2034,1155,neutral,580,Vaccine rollout,2021-12-10
7e285dae-ad44-4ba0-b66d-f0decdcfad21,millerpamela,Social distancing to slow the spread Her account must.,Tennessee,#covid19,652,504,540,2405,positive,362,Lockdown implementation,2020-06-28
01796b18-57bd-4806-a7ac-95c0d9c1bb61,kelleyjesse,Impact of COVID-19 on the healthcare system Your nothing one big mission north attorney.,Iowa,#vaccine,292,910,9197,1715,negative,933,Post-lockdown recovery,2020-12-01
3268b90f-07e7-4fe2-aaeb-3898c269daf0,zknight,Lockdown measures to curb the pandemic Support discuss edge pull memory bank must despite.,Arizona,#vaccine,360,881,52,4021,negative,637,Vaccine rollout,2021-07-22
a0019b32-e783-42e9-9da0-237364cc28e6,atkinstonya,The economy is struggling during the pandemic Assume spend west artist toward partner.,Maine,#covid19,869,130,5500,3394,positive,190,Post-lockdown recovery,2020-10-04
b4cd1f31-cc65-4b1d-9dd5-dd752f580100,hawkinssamantha,Mental health challenges during the pandemic And none my live whom better team.,Louisiana,#covid19,29,228,3023,2431,negative,1881,Early outbreak,2020-02-29
dd7703ae-0c29-4ab2-961a-d1206114bcc8,kellyallen,Staying home to prevent the spread of the virus Owner knowledge specific result.,Indiana,#pandemic,929,92,241,4016,positive,657,Lockdown implementation,2020-05-24
72050ae8-4710-40a7-9c13-e4250df3b07e,jill52,Long COVID affecting many people Country already yeah church remain always skin.,Tennessee,#quarantine,33,126,903,731,neutral,1902,Vaccine development,2021-06-06
a8a88a3b-2342-4d50-a4bb-334cd4bf8bd4,xwinters,Wearing a mask to reduce the risk of infection Wide art project question part.,Rhode Island,#lockdown,829,680,1243,4853,positive,1738,Second wave,2020-09-12
e3afb73f-1f6f-4a4b-828b-4974209f1c3e,cristinaweaver,The number of COVID-19 cases is rising Forward bring site possible not far.,Nevada,#pandemic,827,888,1974,334,positive,1289,Vaccine development,2021-02-14
9eb70cc9-b378-4fe7-845b-d7d49b541799,qjones,Wearing a mask to reduce the risk of infection Reach fine course certain firm.,New Hampshire,#pandemic,154,831,5020,693,neutral,867,Early outbreak,2020-02-08
2efac37d-c48f-4bbb-8797-e8df35516636,cassandra71,Getting vaccinated to protect ourselves and others Doctor evidence meeting bed that write service.,South Dakota,#covid19,425,385,9045,706,neutral,1455,Vaccine rollout,2021-12-27
c01f7697-096d-48d7-b8da-6e0e851eb03d,cmcdonald,Wearing a mask to reduce the risk of infection Value body management part.,Arizona,#vaccine,130,888,4223,276,negative,112,Early outbreak,2020-01-02
a8012d8e-e98b-4f60-8c6c-08d0d7143652,lisa91,Wearing a mask to reduce the risk of infection Quite pattern ahead fund.,Rhode Island,#vaccine,715,616,2326,2156,neutral,1424,Vaccine development,2021-01-29
1010eb9b-9606-4a03-8c59-80fd33e29961,kelsey93,Returning to normal life after the pandemic Same west responsibility.,Idaho,#quarantine,908,651,7232,1825,negative,793,Early outbreak,2020-02-12
ddb72e3d-ff1d-417d-8fe5-c7bbeee04c23,igarcia,Returning to normal life after the pandemic Student building PM heart century charge.,Utah,#quarantine,965,878,7710,2555,negative,1219,Early outbreak,2020-01-16
7bc2d569-e6b4-4a91-94c4-9b38732a19bf,sbarber,Staying home to prevent the spread of the virus Occur ago marriage feeling scene.,Georgia,#lockdown,180,369,7575,1933,negative,659,Vaccine rollout,2021-09-10
93d0453b-81c0-4e53-8743-d38ad3434df6,albertaguilar,Staying home to prevent the spread of the virus Here become kind.,Nevada,#quarantine,192,199,5473,258,positive,1915,Post-lockdown recovery,2020-12-04
bd0de89e-25a0-42a0-b1cf-b7d780a05b30,robertgarcia,Social distancing to slow the spread Region fill lose finish minute hard apply.,Florida,#vaccine,970,422,6781,4453,positive,414,Vaccine development,2021-01-10
f208edf0-edf5-4b73-a7ca-d0a9bb55e2db,jeromejenkins,Mental health challenges during the pandemic Research worker whole my begin face.,Idaho,#covid19,470,824,1595,4473,positive,39,Vaccine rollout,2021-07-31
008efd72-2757-4df2-8b9f-e5abad41e335,adammorgan,The economy is struggling during the pandemic Article visit music office defense experience network by.,Nebraska,#pandemic,247,558,3965,4862,neutral,975,Post-lockdown recovery,2020-10-04
056e5b9a-d2cb-4ce5-a689-5cec682e2134,ortizdylan,The COVID-19 pandemic is impacting our lives Learn reach carry every spend offer.,Alaska,#quarantine,336,19,6030,1259,positive,1368,Post-lockdown recovery,2020-12-06
df521855-1d09-4688-8e69-3ed45dc9be1c,odonnelljulia,The COVID-19 pandemic is impacting our lives Store message institution occur read hard environmental.,Hawaii,#covid19,122,82,6557,95,negative,31,Vaccine development,2021-05-26
ee454a72-5c49-435d-85c3-cadd604b76f5,gporter,Vaccine hesitancy among the population Share agree relationship get the.,Tennessee,#lockdown,797,942,4662,1169,negative,445,Lockdown implementation,2020-04-10
bff86ef5-dc80-4bf2-a129-23cd408fccd2,elucas,Returning to normal life after the pandemic Management daughter wrong economic firm because beautiful.,Washington,#covid19,422,506,1634,157,positive,1162,Lockdown implementation,2020-06-17
bd0d35b7-b91f-4704-b0e2-43e9d9b74171,anthonycurry,Returning to normal life after the pandemic Very night speech why article detail.,Oregon,#covid19,713,268,3717,3332,positive,1025,Vaccine development,2021-01-24
6aff55bb-38ae-4421-b63a-fae397374e40,smcdaniel,Mental health challenges during the pandemic New evidence close.,Connecticut,#vaccine,955,539,9095,1378,negative,292,Vaccine rollout,2021-12-06
4e119e57-332e-4d32-b8ea-959377a9d7ed,uballard,The number of COVID-19 cases is rising New question green arrive traditional place attack.,Arkansas,#quarantine,80,660,7102,51,positive,1202,Vaccine development,2021-02-21
1514163b-80d0-443c-90d8-d65f5f667aab,davidmitchell,Impact of COVID-19 on the healthcare system Natural politics return participant continue field company million.,Iowa,#pandemic,56,305,365,2732,negative,1392,Second wave,2020-07-03
cb448d54-8cf6-455d-a171-4f8e59ee3009,whitneywilson,The number of COVID-19 cases is rising Region serious third for resource oil use.,Nevada,#lockdown,534,571,8697,2927,positive,217,Post-lockdown recovery,2020-12-18
b9beb122-4573-475e-8435-7738aef7f476,owenskatherine,Mental health challenges during the pandemic President speech something determine.,Kansas,#quarantine,502,839,6283,1018,positive,117,Second wave,2020-08-09
02698b77-b563-4ae7-b81d-5df24871b49e,roy23,Social distancing to slow the spread Election maintain seek reality certain remember foreign.,Arizona,#vaccine,989,994,5963,3935,positive,1093,Vaccine development,2021-02-12
1dc22749-1791-49c0-9c92-3c52b7ae91e7,ihicks,Social distancing to slow the spread Its money discussion yet.,Mississippi,#vaccine,134,12,988,2342,positive,1208,Second wave,2020-07-24
94ff5aaa-650d-453e-ba73-2435f4c984ed,katrina56,Wearing a mask to reduce the risk of infection Contain certain anyone issue.,South Carolina,#vaccine,957,439,2905,2483,positive,1674,Lockdown implementation,2020-05-29
e48288dd-f3eb-4f01-aec7-7a59a2986ac4,carlosbrooks,Staying home to prevent the spread of the virus Meeting current raise particularly tree ball reason.,Minnesota,#vaccine,712,968,1722,1024,neutral,1679,Early outbreak,2020-01-02
f0a830a6-5d14-4826-879f-a7d8bd6fb814,williamjohnson,Wearing a mask to reduce the risk of infection White necessary nice father system according PM lead.,Utah,#quarantine,189,682,5132,2741,neutral,1061,Vaccine rollout,2021-07-26
3a1746da-0392-420a-8c6c-c8f01efe9a66,eperez,The economy is struggling during the pandemic There account at public reality land.,Alabama,#pandemic,11,550,7513,4275,positive,1766,Post-lockdown recovery,2020-10-07
571edd24-bfcc-4975-9f9a-ce2d4652dc65,garciatiffany,The COVID-19 pandemic is impacting our lives Project over actually operation seek foreign.,Iowa,#vaccine,697,162,5819,4167,positive,1174,Vaccine development,2021-02-27
342ec148-328c-4060-91ed-24e3ba4a1fff,qtaylor,The number of COVID-19 cases is rising North reason other media off.,New York,#covid19,620,432,4393,260,negative,2613,Post-lockdown recovery,2020-12-26
faec875b-22fe-432f-8c1a-6afd676b59e5,fordjennifer,Long COVID affecting many people Agreement often share worry law push woman have.,Ohio,#covid19,942,289,5496,1369,positive,480,Vaccine development,2021-03-12
72890c92-2776-418a-8c8e-da924458ae66,calvinbooker,Lockdown measures to curb the pandemic Anyone Congress network method method church goal.,Massachusetts,#vaccine,751,282,1735,4643,negative,1211,Vaccine development,2021-01-01
28aec94d-73ee-4d6f-83af-beb87821dbd6,parkgordon,COVID-19 restrictions are easing Walk strong minute sea join central language.,Kansas,#pandemic,368,175,1099,2954,positive,685,Post-lockdown recovery,2020-12-06
e5210f95-5cbd-4e86-80f6-0004053d3bd8,harrislauren,COVID-19 restrictions are easing Tree so authority account product national.,New Hampshire,#pandemic,639,120,5882,3415,neutral,1753,Vaccine development,2021-05-01
431468e0-aba2-434c-9d6c-4c68b4bf2b24,sheltonjohn,The number of COVID-19 cases is rising Indicate natural why.,Washington,#vaccine,777,725,2471,4632,positive,573,Early outbreak,2020-01-01
26d66897-55f7-40df-b2ce-6951e1f08306,scottgarcia,Impact of COVID-19 on the healthcare system Kid record manage major.,Idaho,#quarantine,558,919,4820,938,negative,1172,Early outbreak,2020-03-30
4be21b89-8514-4f26-92d1-1ab5d883a71b,williamsmegan,Social distancing to slow the spread Cost receive simple protect always treat camera.,Kansas,#quarantine,176,379,9544,2748,neutral,1397,Early outbreak,2020-01-08
0a94d65a-b74a-4f49-a638-24be5fcfea3c,david23,The number of COVID-19 cases is rising Buy scientist newspaper end great two star character.,Kentucky,#covid19,981,83,9057,1680,neutral,1731,Post-lockdown recovery,2020-12-23
2d232ed0-310d-4564-9c75-7110c467d6b2,cthompson,Wearing a mask to reduce the risk of infection End age arrive off main.,Tennessee,#vaccine,10,913,28,1582,positive,1634,Lockdown implementation,2020-04-23
2c9deb78-dbfc-40ce-9010-fc30d8f73f8e,allensean,Impact of COVID-19 on the healthcare system Respond might movement.,Alabama,#quarantine,17,836,6654,4478,positive,708,Vaccine rollout,2021-09-01
c8d3f5cb-9b06-4726-a3af-c3cc4bdf2b02,zjackson,Social distancing to slow the spread Read receive manager pull maintain not idea throughout.,Utah,#covid19,694,184,3213,3094,negative,1178,Early outbreak,2020-02-08
f779090e-e621-4185-aa6f-23b65cd6aac9,fwilson,The number of COVID-19 cases is rising Factor night measure tax dark art society region.,Florida,#vaccine,748,292,5510,3149,positive,4196,Vaccine rollout,2021-07-05
741c7a46-3d7c-4634-95c0-3354513451a5,scott05,Returning to normal life after the pandemic My specific take movement.,North Carolina,#quarantine,359,225,696,4822,positive,1670,Second wave,2020-08-21
08f0a970-9a18-4fc5-9a8c-cb727acc4192,johnsonchristine,Mental health challenges during the pandemic Marriage author everything worry fight.,Wisconsin,#lockdown,251,953,8673,3367,negative,1787,Vaccine development,2021-03-15
0829e886-a09a-4c2f-93ce-e257680851d2,vincent93,COVID-19 restrictions are easing Situation statement company.,Colorado,#lockdown,635,508,8005,2054,negative,1353,Vaccine development,2021-03-25
1d0af45b-4eb5-434c-a385-80995c5f4945,jgarner,Mental health challenges during the pandemic Central family form better near.,Hawaii,#quarantine,775,847,3936,4085,neutral,947,Early outbreak,2020-03-10
69e0761b-05b7-4428-9c3c-e7fe18eb9153,lauren55,Vaccine hesitancy among the population Unit foot black adult suggest.,Florida,#vaccine,330,418,8776,1524,neutral,2277,Early outbreak,2020-03-24
66407949-7f45-46f8-b3f3-d69cd3f9f2f3,christopherbaker,Lockdown measures to curb the pandemic Suggest expect record tax Democrat.,Colorado,#pandemic,135,246,2679,1695,positive,1293,Post-lockdown recovery,2020-12-29
5e2e1084-8555-44d3-a61d-d3c1b1853030,danaparks,The number of COVID-19 cases is rising Science Mr trial staff various.,West Virginia,#vaccine,113,622,7755,4342,neutral,336,Vaccine development,2021-04-12
1d5bea5e-54f5-4ed2-a11c-fde78c3f53ce,njones,Returning to normal life after the pandemic No happen or music situation fund.,Arizona,#lockdown,485,288,1302,2941,negative,934,Vaccine rollout,2021-08-17
2c00f6d8-c5d2-4a40-b1d2-b5a47229e200,johnburns,The economy is struggling during the pandemic Dark give three.,Massachusetts,#quarantine,487,208,8217,4437,negative,1854,Vaccine development,2021-01-06
43c37b1f-5ff5-4976-b243-bc8a90d64877,nichole79,The new variants of the virus are concerning Professional book collection still.,Connecticut,#pandemic,702,494,1158,2419,neutral,402,Early outbreak,2020-02-19
74567043-9e2d-499c-bcd8-5d12bbfbf5a9,laura77,Social distancing to slow the spread Require low create believe.,West Virginia,#vaccine,640,538,1898,1470,negative,16,Second wave,2020-08-08
49ecaf30-f03d-49df-bd77-c6c792946cdf,greenashley,COVID-19 restrictions are easing Upon close single down offer production wind.,Maine,#pandemic,782,952,5181,136,neutral,813,Vaccine development,2021-04-10
5b0c8276-46bb-4447-8141-c3091b7f26f8,nancynichols,Staying home to prevent the spread of the virus Begin rule early first get former.,Vermont,#pandemic,227,714,8712,1546,neutral,1583,Vaccine rollout,2021-11-04
1a9a8440-a708-4316-bf74-db8e9e858eb4,natashawilliams,Social distancing to slow the spread Operation man speech to let.,Arkansas,#vaccine,602,926,5593,1670,neutral,1508,Early outbreak,2020-01-13
5a7fcfbd-fef4-4753-918e-7fbc329bfd30,rmcdaniel,Getting vaccinated to protect ourselves and others Pass as improve pretty newspaper enough.,Oregon,#lockdown,512,231,8581,1222,neutral,632,Second wave,2020-07-28
c708f216-d42e-46ca-8511-22002740a326,michael02,Lockdown measures to curb the pandemic Sing full democratic note some music.,Rhode Island,#vaccine,651,906,3142,3299,negative,1709,Second wave,2020-09-18
e82293b7-ff30-41c1-9d5a-eaad2d77cb38,scottbelinda,Long COVID affecting many people Style purpose minute example culture find everybody hotel.,Nebraska,#pandemic,826,194,5576,1720,negative,1630,Vaccine development,2021-01-17
